pos	callable_tn	callable_t
859	5367	6488
860	5367	6491
861	5366	6494
862	5372	6486
863	5375	6486
864	5374	6486
865	5367	6486
866	5370	6490
867	5377	6494
868	5373	6487
869	5373	6490
870	5365	6490
871	5364	6482
872	5354	6475
873	5352	6468
874	5349	6476
875	5358	6490
876	5351	6485
877	5350	6484
878	5350	6484
879	5356	6483
880	5351	6482
881	5342	6464
882	5345	6470
883	5339	6463
884	5337	6454
885	5328	6454
886	5331	6469
887	5332	6463
888	5331	6458
889	5340	6464
890	5345	6476
891	5349	6477
892	5346	6459
893	5348	6463
894	5346	6463
895	5342	6463
896	5343	6469
897	5343	6475
898	5342	6470
899	5335	6478
900	5334	6479
901	5328	6476
902	5327	6477
903	5330	6473
904	5333	6465
905	5332	6460
906	5331	6463
907	5322	6451
908	5319	6446
909	5326	6456
910	5330	6461
911	5320	6454
912	5318	6455
913	5315	6452
914	5314	6453
915	5319	6459
916	5321	6458
917	5324	6464
918	5319	6455
919	5316	6452
920	5313	6449
921	5315	6448
922	5316	6441
923	5317	6446
924	5322	6453
925	5323	6457
926	5321	6454
927	5320	6458
928	5323	6461
929	5323	6466
930	5317	6462
931	5318	6474
932	5309	6463
933	5306	6445
934	5303	6444
935	5298	6427
936	5289	6406
937	5283	6403
938	5277	6407
939	5284	6401
940	5281	6381
941	5279	6388
942	5279	6382
943	5275	6378
944	5271	6379
945	5273	6384
946	5267	6381
947	5264	6376
948	5259	6376
949	5261	6380
950	5257	6361
951	5253	6363
952	5256	6366
953	5264	6382
954	5265	6391
955	5265	6395
956	5267	6393
957	5272	6406
958	5278	6409
959	5277	6409
960	5271	6394
961	5265	6399
962	5261	6399
963	5258	6397
964	5262	6393
965	5254	6376
966	5248	6363
967	5237	6354
968	5234	6353
969	5230	6351
970	5223	6348
971	5226	6350
972	5217	6352
973	5218	6357
974	5218	6357
975	5217	6347
976	5217	6335
977	5219	6332
978	5222	6336
979	5221	6326
980	5227	6332
981	5227	6333
982	5223	6331
983	5221	6340
984	5218	6342
985	5212	6329
986	5206	6319
987	5199	6311
988	5199	6297
989	5191	6291
990	5187	6283
991	5191	6268
992	5188	6276
993	5185	6267
994	5191	6275
995	5197	6279
996	5200	6282
997	5192	6274
998	5199	6274
999	5200	6274
1000	5196	6267
1001	5205	6278
1002	5215	6285
1003	5204	6276
1004	5190	6265
1005	5202	6281
1006	5195	6277
1007	5187	6264
1008	5189	6260
1009	5187	6251
1010	5185	6249
1011	5185	6255
1012	5178	6255
1013	5182	6256
1014	5175	6235
1015	5182	6240
1016	5178	6227
1017	5165	6202
1018	5164	6196
1019	5162	6184
1020	5167	6185
1021	5153	6167
1022	5145	6160
1023	5140	6146
1024	5128	6127
1025	5124	6124
1026	5117	6124
1027	5101	6108
1028	5088	6090
1029	5075	6060
1030	5058	6035
1031	5043	6017
1032	5038	6006
1033	5023	5990
1034	5016	5977
1035	4997	5962
1036	4986	5946
1037	4980	5934
1038	4967	5923
1039	4958	5915
1040	4948	5906
1041	4936	5887
1042	4922	5875
1043	4921	5868
1044	4914	5844
1045	4900	5827
1046	4897	5813
1047	4893	5805
1048	4885	5793
1049	4866	5771
1050	4857	5752
1051	4850	5738
1052	4849	5739
1053	4842	5725
1054	4829	5715
1055	4819	5695
1056	4800	5677
1057	4781	5654
1058	4767	5639
1059	4747	5624
1060	4721	5593
1061	4714	5579
1062	4698	5565
1063	4697	5556
1064	4675	5542
1065	4665	5522
1066	4661	5519
1067	4642	5502
1068	4633	5478
1069	4622	5466
1070	4611	5461
1071	4601	5434
1072	4584	5414
1073	4571	5394
1074	4560	5379
1075	4544	5363
1076	4532	5346
1077	4512	5319
1078	4492	5290
1079	4474	5264
1080	4462	5249
1081	4438	5222
1082	4420	5206
1083	4413	5198
1084	4403	5183
1085	4392	5166
1086	4374	5145
1087	4354	5122
1088	4337	5102
1089	4333	5087
1090	4327	5081
1091	4303	5054
1092	4287	5047
1093	4284	5041
1094	4270	5027
1095	4247	5016
1096	4230	4998
1097	4211	4989
1098	4200	4982
1099	4194	4973
1100	4189	4976
1101	4181	4971
1102	4162	4965
1103	4164	4961
1104	4154	4956
1105	4135	4944
1106	4125	4938
1107	4093	4915
1108	4079	4908
1109	4058	4898
1110	4038	4887
1111	4036	4899
1112	4009	4880
1113	3991	4866
1114	3975	4865
1115	3963	4853
1116	3940	4839
1117	3941	4839
1118	3929	4836
1119	3914	4824
1120	3899	4809
1121	3880	4798
1122	3874	4783
1123	3861	4775
1124	3853	4766
1125	3832	4751
1126	3826	4748
1127	3814	4740
1128	3805	4730
1129	3768	4699
1130	3758	4691
1131	3751	4677
1132	3736	4658
1133	3718	4647
1134	3703	4634
1135	3706	4634
1136	3715	4640
1137	3693	4622
1138	3678	4617
1139	3666	4616
1140	3672	4618
1141	3669	4614
1142	3664	4604
1143	3662	4610
1144	3668	4604
1145	3665	4604
1146	3683	4601
1147	3680	4595
1148	3674	4595
1149	3679	4596
1150	3678	4589
1151	3683	4589
1152	3671	4586
1153	3685	4591
1154	3690	4594
1155	3689	4598
1156	3695	4603
1157	3693	4600
1158	3695	4601
1159	3689	4598
1160	3697	4599
1161	3709	4601
1162	3714	4611
1163	3710	4615
1164	3709	4619
1165	3722	4638
1166	3725	4648
1167	3718	4646
1168	3727	4653
1169	3724	4658
1170	3717	4661
1171	3730	4678
1172	3736	4674
1173	3743	4687
1174	3734	4680
1175	3721	4671
1176	3715	4677
1177	3702	4660
1178	3710	4661
1179	3709	4657
1180	3723	4663
1181	3724	4673
1182	3739	4689
1183	3737	4691
1184	3756	4705
1185	3767	4718
1186	3767	4724
1187	3778	4731
1188	3790	4738
1189	3810	4758
1190	3815	4763
1191	3828	4779
1192	3844	4796
1193	3841	4796
1194	3849	4804
1195	3856	4812
1196	3858	4821
1197	3863	4833
1198	3866	4840
1199	3877	4851
1200	3892	4870
1201	3912	4881
1202	3927	4892
1203	3945	4905
1204	3961	4926
1205	3966	4935
1206	3975	4940
1207	3982	4957
1208	3987	4965
1209	4000	4978
1210	4012	4987
1211	4029	4993
1212	4044	5016
1213	4057	5029
1214	4059	5043
1215	4074	5067
1216	4087	5090
1217	4103	5115
1218	4113	5145
1219	4130	5171
1220	4148	5191
1221	4163	5214
1222	4186	5244
1223	4208	5277
1224	4221	5299
1225	4245	5323
1226	4268	5357
1227	4300	5390
1228	4319	5418
1229	4339	5439
1230	4362	5459
1231	4370	5481
1232	4395	5507
1233	4418	5528
1234	4432	5551
1235	4459	5573
1236	4472	5596
1237	4487	5612
1238	4504	5643
1239	4521	5665
1240	4539	5683
1241	4555	5702
1242	4561	5718
1243	4569	5728
1244	4577	5745
1245	4595	5769
1246	4595	5794
1247	4600	5803
1248	4624	5827
1249	4644	5863
1250	4659	5875
1251	4667	5883
1252	4677	5899
1253	4684	5915
1254	4693	5927
1255	4696	5938
1256	4702	5950
1257	4715	5964
1258	4716	5981
1259	4730	6003
1260	4742	6013
1261	4758	6030
1262	4763	6058
1263	4777	6070
1264	4805	6095
1265	4816	6105
1266	4812	6114
1267	4820	6127
1268	4829	6165
1269	4832	6164
1270	4851	6180
1271	4864	6191
1272	4865	6202
1273	4875	6216
1274	4883	6231
1275	4896	6244
1276	4905	6256
1277	4914	6267
1278	4925	6285
1279	4923	6294
1280	4929	6299
1281	4930	6310
1282	4930	6316
1283	4934	6325
1284	4940	6336
1285	4952	6351
1286	4954	6345
1287	4945	6332
1288	4943	6321
1289	4927	6310
1290	4927	6312
1291	4921	6294
1292	4914	6288
1293	4911	6273
1294	4905	6267
1295	4898	6250
1296	4883	6230
1297	4872	6209
1298	4865	6202
1299	4865	6186
1300	4839	6165
1301	4839	6161
1302	4824	6148
1303	4820	6141
1304	4837	6159
1305	4833	6152
1306	4823	6155
1307	4816	6146
1308	4822	6142
1309	4816	6136
1310	4812	6128
1311	4826	6128
1312	4822	6123
1313	4821	6127
1314	4811	6116
1315	4811	6118
1316	4812	6122
1317	4800	6106
1318	4802	6104
1319	4806	6093
1320	4802	6082
1321	4812	6087
1322	4808	6083
1323	4806	6083
1324	4813	6091
1325	4809	6087
1326	4800	6081
1327	4786	6066
1328	4773	6066
1329	4765	6063
1330	4766	6067
1331	4755	6065
1332	4763	6068
1333	4760	6071
1334	4761	6070
1335	4749	6059
1336	4751	6057
1337	4754	6059
1338	4741	6046
1339	4740	6043
1340	4736	6032
1341	4737	6035
1342	4748	6044
1343	4755	6052
1344	4748	6045
1345	4745	6041
1346	4729	6032
1347	4721	6018
1348	4720	6016
1349	4714	6018
1350	4697	5999
1351	4688	5985
1352	4687	5988
1353	4672	5976
1354	4663	5987
1355	4658	5980
1356	4645	5978
1357	4655	5968
1358	4648	5965
1359	4646	5951
1360	4632	5942
1361	4623	5933
1362	4619	5931
1363	4625	5926
1364	4620	5932
1365	4617	5935
1366	4629	5944
1367	4631	5959
1368	4641	5968
1369	4652	5979
1370	4643	5972
1371	4637	5965
1372	4651	5975
1373	4650	5986
1374	4648	5995
1375	4644	6001
1376	4658	6014
1377	4665	6014
1378	4668	6022
1379	4660	6016
1380	4656	6012
1381	4655	6019
1382	4651	6022
1383	4641	6015
1384	4645	6015
1385	4644	6021
1386	4624	6001
1387	4625	5993
1388	4628	5993
1389	4628	6001
1390	4624	5996
1391	4613	5983
1392	4599	5959
1393	4593	5951
1394	4595	5955
1395	4604	5967
1396	4609	5966
1397	4616	5975
1398	4602	5968
1399	4591	5969
1400	4580	5962
1401	4578	5959
1402	4577	5958
1403	4582	5950
1404	4559	5929
1405	4553	5922
1406	4544	5899
1407	4525	5884
1408	4527	5881
1409	4525	5876
1410	4506	5863
1411	4484	5855
1412	4494	5852
1413	4497	5851
1414	4482	5825
1415	4479	5824
1416	4479	5818
1417	4479	5816
1418	4459	5794
1419	4459	5785
1420	4449	5777
1421	4450	5767
1422	4440	5760
1423	4430	5761
1424	4426	5766
1425	4420	5759
1426	4418	5756
1427	4415	5759
1428	4413	5749
1429	4407	5737
1430	4390	5729
1431	4382	5726
1432	4393	5721
1433	4382	5725
1434	4369	5715
1435	4367	5703
1436	4372	5707
1437	4351	5690
1438	4368	5691
1439	4368	5682
1440	4366	5684
1441	4353	5668
1442	4357	5667
1443	4351	5665
1444	4340	5658
1445	4329	5645
1446	4332	5646
1447	4340	5650
1448	4336	5641
1449	4334	5641
1450	4337	5643
1451	4330	5632
1452	4323	5624
1453	4308	5604
1454	4290	5592
1455	4282	5586
1456	4287	5585
1457	4280	5580
1458	4273	5558
1459	4279	5562
1460	4282	5573
1461	4277	5565
1462	4276	5557
1463	4265	5547
1464	4260	5530
1465	4265	5532
1466	4260	5526
1467	4272	5528
1468	4267	5528
1469	4265	5524
1470	4258	5514
1471	4248	5496
1472	4244	5486
1473	4236	5471
1474	4227	5459
1475	4230	5450
1476	4235	5447
1477	4226	5443
1478	4218	5434
1479	4215	5437
1480	4223	5450
1481	4232	5463
1482	4222	5464
1483	4216	5456
1484	4223	5467
1485	4246	5490
1486	4250	5502
1487	4257	5513
1488	4248	5507
1489	4259	5500
1490	4266	5506
1491	4265	5506
1492	4265	5520
1493	4270	5533
1494	4271	5533
1495	4281	5545
1496	4279	5552
1497	4275	5555
1498	4281	5554
1499	4273	5560
1500	4270	5566
1501	4266	5568
1502	4280	5578
1503	4283	5578
1504	4285	5584
1505	4295	5591
1506	4298	5596
1507	4302	5609
1508	4307	5626
1509	4320	5635
1510	4324	5646
1511	4338	5652
1512	4347	5663
1513	4366	5679
1514	4370	5683
1515	4365	5679
1516	4365	5688
1517	4372	5701
1518	4381	5716
1519	4377	5726
1520	4380	5731
1521	4382	5737
1522	4379	5729
1523	4366	5724
1524	4375	5723
1525	4380	5724
1526	4376	5730
1527	4394	5747
1528	4395	5748
1529	4399	5756
1530	4408	5764
1531	4411	5779
1532	4414	5787
1533	4422	5803
1534	4432	5815
1535	4417	5814
1536	4408	5798
1537	4411	5797
1538	4421	5802
1539	4429	5817
1540	4428	5812
1541	4427	5807
1542	4421	5810
1543	4426	5808
1544	4431	5797
1545	4426	5806
1546	4438	5822
1547	4444	5832
1548	4445	5837
1549	4444	5845
1550	4447	5857
1551	4450	5858
1552	4460	5863
1553	4463	5865
1554	4462	5861
1555	4469	5859
1556	4475	5855
1557	4461	5843
1558	4467	5849
1559	4465	5852
1560	4472	5848
1561	4463	5836
1562	4460	5831
1563	4472	5835
1564	4479	5836
1565	4465	5822
1566	4467	5808
1567	4459	5795
1568	4447	5781
1569	4440	5771
1570	4418	5762
1571	4424	5768
1572	4412	5749
1573	4403	5743
1574	4408	5736
1575	4397	5720
1576	4383	5705
1577	4383	5711
1578	4382	5711
1579	4391	5707
1580	4390	5694
1581	4391	5686
1582	4398	5685
1583	4398	5689
1584	4392	5686
1585	4387	5684
1586	4387	5676
1587	4368	5670
1588	4368	5669
1589	4369	5664
1590	4376	5665
1591	4376	5655
1592	4379	5657
1593	4374	5656
1594	4372	5645
1595	4375	5644
1596	4369	5646
1597	4376	5642
1598	4377	5638
1599	4380	5651
1600	4367	5647
1601	4367	5662
1602	4379	5659
1603	4367	5645
1604	4368	5637
1605	4373	5635
1606	4365	5645
1607	4359	5629
1608	4361	5644
1609	4367	5650
1610	4355	5641
1611	4362	5637
1612	4361	5636
1613	4354	5642
1614	4348	5645
1615	4346	5639
1616	4356	5655
1617	4362	5662
1618	4356	5650
1619	4355	5650
1620	4351	5639
1621	4343	5626
1622	4327	5603
1623	4322	5584
1624	4316	5574
1625	4311	5570
1626	4320	5576
1627	4324	5585
1628	4319	5588
1629	4306	5577
1630	4310	5583
1631	4315	5581
1632	4304	5576
1633	4302	5580
1634	4299	5575
1635	4311	5586
1636	4322	5592
1637	4313	5593
1638	4309	5599
1639	4302	5594
1640	4312	5611
1641	4312	5608
1642	4310	5603
1643	4302	5600
1644	4296	5604
1645	4306	5611
1646	4296	5617
1647	4290	5616
1648	4302	5626
1649	4295	5634
1650	4307	5657
1651	4320	5658
1652	4321	5664
1653	4335	5684
1654	4344	5707
1655	4336	5703
1656	4338	5708
1657	4349	5730
1658	4358	5731
1659	4363	5738
1660	4352	5739
1661	4348	5743
1662	4349	5749
1663	4350	5748
1664	4365	5749
1665	4373	5760
1666	4373	5771
1667	4396	5789
1668	4400	5798
1669	4397	5796
1670	4393	5780
1671	4398	5780
1672	4401	5791
1673	4402	5790
1674	4389	5788
1675	4396	5803
1676	4410	5823
1677	4411	5827
1678	4413	5818
1679	4416	5833
1680	4399	5848
1681	4414	5868
1682	4423	5894
1683	4429	5911
1684	4442	5920
1685	4458	5928
1686	4466	5951
1687	4468	5966
1688	4492	5994
1689	4498	5997
1690	4514	6003
1691	4522	6019
1692	4535	6036
1693	4542	6047
1694	4557	6065
1695	4572	6074
1696	4565	6083
1697	4565	6080
1698	4567	6088
1699	4572	6095
1700	4567	6104
1701	4556	6109
1702	4550	6108
1703	4565	6120
1704	4571	6129
1705	4586	6149
1706	4605	6162
1707	4610	6181
1708	4613	6185
1709	4616	6188
1710	4612	6186
1711	4616	6198
1712	4616	6194
1713	4620	6196
1714	4617	6186
1715	4619	6193
1716	4620	6188
1717	4615	6193
1718	4600	6175
1719	4601	6185
1720	4607	6186
1721	4601	6182
1722	4602	6172
1723	4605	6164
1724	4609	6154
1725	4603	6150
1726	4602	6146
1727	4591	6134
1728	4589	6120
1729	4567	6102
1730	4549	6081
1731	4540	6080
1732	4539	6070
1733	4553	6066
1734	4553	6074
1735	4537	6049
1736	4534	6032
1737	4540	6032
1738	4528	6007
1739	4514	5984
1740	4499	5968
1741	4490	5952
1742	4484	5940
1743	4468	5922
1744	4473	5932
1745	4471	5917
1746	4455	5895
1747	4448	5891
1748	4442	5886
1749	4430	5880
1750	4419	5866
1751	4425	5876
1752	4419	5875
1753	4406	5872
1754	4406	5863
1755	4413	5873
1756	4399	5857
1757	4391	5849
1758	4379	5843
1759	4372	5837
1760	4376	5842
1761	4381	5846
1762	4370	5817
1763	4374	5812
1764	4357	5796
1765	4352	5787
1766	4339	5774
1767	4319	5746
1768	4306	5735
1769	4283	5723
1770	4285	5723
1771	4297	5727
1772	4297	5729
1773	4301	5729
1774	4309	5747
1775	4305	5743
1776	4301	5745
1777	4306	5736
1778	4310	5738
1779	4297	5728
1780	4289	5712
1781	4281	5705
1782	4272	5700
1783	4269	5699
1784	4267	5695
1785	4259	5689
1786	4254	5693
1787	4259	5693
1788	4271	5706
1789	4271	5703
1790	4274	5698
1791	4268	5700
1792	4251	5676
1793	4245	5667
1794	4255	5668
1795	4251	5662
1796	4246	5660
1797	4223	5642
1798	4223	5648
1799	4215	5639
1800	4211	5633
1801	4214	5636
1802	4210	5631
1803	4220	5643
1804	4223	5644
1805	4227	5644
1806	4217	5634
1807	4218	5629
1808	4216	5630
1809	4204	5625
1810	4208	5627
1811	4207	5637
1812	4215	5642
1813	4222	5644
1814	4225	5641
1815	4228	5633
1816	4215	5626
1817	4220	5626
1818	4221	5642
1819	4225	5636
1820	4225	5635
1821	4233	5635
1822	4229	5627
1823	4226	5632
1824	4221	5627
1825	4204	5616
1826	4209	5619
1827	4228	5628
1828	4239	5639
1829	4237	5642
1830	4221	5634
1831	4220	5624
1832	4221	5624
1833	4214	5616
1834	4201	5607
1835	4197	5599
1836	4190	5598
1837	4194	5597
1838	4195	5603
1839	4204	5618
1840	4227	5641
1841	4227	5649
1842	4245	5659
1843	4250	5659
1844	4252	5672
1845	4263	5683
1846	4259	5687
1847	4251	5683
1848	4246	5689
1849	4250	5706
1850	4221	5691
1851	4221	5686
1852	4224	5688
1853	4233	5684
1854	4227	5673
1855	4231	5684
1856	4244	5691
1857	4261	5700
1858	4273	5710
1859	4263	5697
1860	4256	5684
1861	4263	5682
1862	4268	5688
1863	4256	5665
1864	4264	5675
1865	4270	5677
1866	4266	5678
1867	4275	5684
1868	4279	5693
1869	4285	5693
1870	4299	5686
1871	4304	5700
1872	4314	5713
1873	4305	5721
1874	4304	5716
1875	4320	5723
1876	4322	5722
1877	4323	5733
1878	4323	5731
1879	4335	5738
1880	4357	5755
1881	4381	5782
1882	4388	5792
1883	4393	5789
1884	4392	5790
1885	4386	5777
1886	4373	5764
1887	4355	5752
1888	4348	5737
1889	4346	5743
1890	4369	5748
1891	4361	5736
1892	4364	5728
1893	4361	5713
1894	4348	5705
1895	4345	5699
1896	4342	5696
1897	4342	5685
1898	4343	5676
1899	4337	5667
1900	4344	5665
1901	4345	5657
1902	4352	5658
1903	4344	5648
1904	4343	5645
1905	4337	5625
1906	4338	5622
1907	4344	5622
1908	4340	5616
1909	4345	5612
1910	4342	5601
1911	4332	5605
1912	4316	5594
1913	4316	5583
1914	4311	5579
1915	4299	5558
1916	4307	5547
1917	4306	5547
1918	4310	5535
1919	4313	5539
1920	4310	5527
1921	4309	5520
1922	4322	5525
1923	4326	5532
1924	4330	5530
1925	4322	5524
1926	4327	5522
1927	4323	5523
1928	4319	5518
1929	4324	5523
1930	4324	5517
1931	4329	5525
1932	4340	5538
1933	4341	5546
1934	4346	5558
1935	4359	5561
1936	4363	5570
1937	4370	5581
1938	4370	5572
1939	4359	5565
1940	4363	5564
1941	4372	5557
1942	4363	5573
1943	4366	5567
1944	4366	5567
1945	4376	5581
1946	4370	5585
1947	4377	5591
1948	4365	5582
1949	4359	5566
1950	4369	5577
1951	4382	5592
1952	4381	5598
1953	4375	5596
1954	4381	5604
1955	4381	5599
1956	4381	5596
1957	4367	5582
1958	4374	5584
1959	4375	5586
1960	4380	5604
1961	4383	5611
1962	4394	5617
1963	4405	5629
1964	4401	5637
1965	4403	5640
1966	4416	5652
1967	4427	5657
1968	4421	5648
1969	4415	5642
1970	4420	5646
1971	4425	5657
1972	4434	5665
1973	4442	5675
1974	4446	5689
1975	4444	5688
1976	4450	5689
1977	4444	5683
1978	4453	5685
1979	4472	5703
1980	4463	5695
1981	4456	5705
1982	4456	5707
1983	4467	5722
1984	4474	5725
1985	4486	5747
1986	4484	5751
1987	4470	5736
1988	4475	5746
1989	4486	5761
1990	4482	5759
1991	4493	5766
1992	4510	5788
1993	4512	5792
1994	4514	5799
1995	4521	5803
1996	4532	5815
1997	4541	5821
1998	4545	5833
1999	4549	5844
2000	4550	5851
2001	4557	5861
2002	4551	5864
2003	4553	5871
2004	4553	5864
2005	4548	5856
2006	4551	5863
2007	4557	5854
2008	4551	5856
2009	4547	5852
2010	4538	5844
2011	4532	5845
2012	4535	5843
2013	4541	5839
2014	4527	5828
2015	4538	5831
2016	4546	5833
2017	4546	5833
2018	4535	5827
2019	4534	5832
2020	4529	5831
2021	4522	5827
2022	4518	5828
2023	4516	5819
2024	4521	5823
2025	4533	5842
2026	4545	5841
2027	4539	5829
2028	4539	5817
2029	4547	5814
2030	4546	5813
2031	4528	5795
2032	4531	5800
2033	4534	5795
2034	4526	5783
2035	4515	5779
2036	4512	5786
2037	4510	5790
2038	4503	5785
2039	4512	5792
2040	4510	5796
2041	4499	5793
2042	4496	5777
2043	4505	5799
2044	4514	5805
2045	4511	5803
2046	4511	5808
2047	4511	5811
2048	4516	5808
2049	4511	5801
2050	4518	5802
2051	4512	5807
2052	4518	5814
2053	4512	5807
2054	4511	5811
2055	4514	5810
2056	4509	5815
2057	4515	5822
2058	4520	5830
2059	4522	5833
2060	4520	5825
2061	4519	5817
2062	4526	5824
2063	4533	5834
2064	4530	5828
2065	4537	5828
2066	4538	5824
2067	4543	5812
2068	4542	5804
2069	4533	5796
2070	4526	5790
2071	4526	5788
2072	4522	5794
2073	4535	5796
2074	4537	5801
2075	4539	5804
2076	4543	5801
2077	4543	5795
2078	4545	5781
2079	4542	5781
2080	4535	5777
2081	4521	5761
2082	4514	5756
2083	4514	5743
2084	4520	5741
2085	4516	5733
2086	4520	5732
2087	4524	5731
2088	4523	5733
2089	4517	5720
2090	4520	5726
2091	4528	5734
2092	4528	5741
2093	4528	5745
2094	4539	5745
2095	4544	5752
2096	4552	5761
2097	4548	5756
2098	4545	5757
2099	4546	5754
2100	4549	5762
2101	4556	5767
2102	4561	5772
2103	4571	5778
2104	4577	5782
2105	4580	5782
2106	4576	5775
2107	4574	5770
2108	4575	5774
2109	4576	5778
2110	4572	5775
2111	4578	5782
2112	4573	5769
2113	4571	5764
2114	4572	5776
2115	4586	5781
2116	4582	5777
2117	4575	5777
2118	4578	5780
2119	4579	5777
2120	4573	5768
2121	4574	5772
2122	4578	5785
2123	4582	5786
2124	4583	5790
2125	4590	5793
2126	4592	5790
2127	4595	5789
2128	4599	5786
2129	4596	5783
2130	4595	5793
2131	4600	5799
2132	4608	5806
2133	4603	5800
2134	4602	5795
2135	4606	5793
2136	4611	5802
2137	4609	5803
2138	4611	5797
2139	4605	5794
2140	4602	5798
2141	4614	5807
2142	4610	5802
2143	4620	5813
2144	4623	5819
2145	4624	5814
2146	4628	5823
2147	4628	5817
2148	4629	5822
2149	4629	5823
2150	4637	5825
2151	4645	5832
2152	4647	5835
2153	4660	5845
2154	4667	5854
2155	4675	5864
2156	4678	5870
2157	4681	5868
2158	4690	5882
2159	4694	5901
2160	4703	5903
2161	4712	5912
2162	4716	5917
2163	4728	5926
2164	4740	5927
2165	4740	5940
2166	4749	5942
2167	4744	5933
2168	4746	5933
2169	4744	5941
2170	4749	5942
2171	4751	5941
2172	4752	5943
2173	4756	5955
2174	4757	5950
2175	4759	5948
