symbol	role	covd_bps	genome	N	N_trunc	N_missense	tmb	tmb_trunc	tmb_missense
BCL6	Oncogene	6922944	Nuclear	66	8	45	9.53351637684777	1.15557774264821	6.50012480239621
BCOR	TSG	17194752	Nuclear	184	35	110	10.700939449432	2.03550478657674	6.39730075781262
BIRC3	n/a	5924160	Nuclear	42	8	28	7.08961270458597	1.35040241992114	4.72640846972398
BLM	TSG	13885056	Nuclear	94	13	59	6.76986826700591	0.936258377351881	4.24917263567392
BMPR1A	TSG	5219136	Nuclear	45	8	33	8.62211676415407	1.53282075807183	6.32288562704632
BRAF	Oncogene	7510464	Nuclear	169	17	140	22.5019386285588	2.26350861944082	18.6406592189244
BRCA1	TSG	18252288	Nuclear	130	29	83	7.1223947375803	1.58884190299868	4.54737510168588
BRCA2	TSG	33478848	Nuclear	294	58	197	8.78166417195717	1.73243714956978	5.88431238733185
BRD4	Oncogene	13346496	Nuclear	115	12	73	8.61649379732328	0.899112396242429	5.46960041047478
BRIP1	TSG	12240000	Nuclear	103	11	71	8.41503267973856	0.898692810457516	5.80065359477124
BTK	Oncogene	6462720	Nuclear	76	8	48	11.7597544068132	1.23786888492771	7.42721330956625
CALR	Oncogene	4093056	Nuclear	37	6	21	9.03970040966945	1.46589736373018	5.13064077305563
CARD11	Oncogene	11309760	Nuclear	188	25	109	16.6228107404578	2.21048015165662	9.63769346122287
CARM1	n/a	5963328	Nuclear	39	3	22	6.53997231076339	0.503074793135645	3.6892151496614
CASP8	TSG	5277888	Nuclear	102	41	54	19.325912183055	7.76825881867899	10.2313652733821
CBFB	TSG	1840896	Nuclear	38	11	24	20.6421220970658	5.97535113336115	13.0371297455152
CBL	TSG	8881344	Nuclear	72	5	50	8.10688112069525	0.562977855603837	5.62977855603837
CCND1	Oncogene	2898432	Nuclear	30	5	18	10.3504239533651	1.72507065889419	6.21025437201908
CCND2	Oncogene	2839680	Nuclear	36	2	17	12.6774847870183	0.704304710389903	5.98659003831418
CCND3	Oncogene	2869056	Nuclear	12	1	6	4.18256039617212	0.34854669968101	2.09128019808606
CCNE1	Oncogene	4024512	Nuclear	44	3	29	10.9330025603104	0.745431992748438	7.20584259656823
CD274	Oncogene	2849472	Nuclear	15	1	10	5.2641331446668	0.350942209644453	3.50942209644453
CD276	n/a	5238720	Nuclear	39	2	24	7.44456661169141	0.381772646753405	4.58127176104087
CD79A	Oncogene	2222784	Nuclear	30	8	15	13.4965880625378	3.59909015001008	6.7482940312689
CD79B	Oncogene	2261952	Nuclear	23	0	17	10.1682086976205	0	7.51563251563252
CDC42	Oncogene	1880064	Nuclear	16	0	14	8.510348583878	0	7.44655501089325
CDC73	TSG	5209344	Nuclear	68	13	48	13.0534670008354	2.49551575015971	9.21421200058971
CDH1	TSG	8646336	Nuclear	177	95	60	20.4710989718651	10.9873130074982	6.93935558368308
CDK12	n/a	14599872	Nuclear	136	28	82	9.31515016022058	1.91782503298659	5.61648759660359
CDK4	Oncogene	2976768	Nuclear	26	0	21	8.734305125559	0	7.0546310629515
CDK6	Oncogene	3201984	Nuclear	32	0	19	9.9938038416182	0	5.9338210309608
CDK8	Oncogene	4553280	Nuclear	41	5	31	9.00449785649027	1.09810949469393	6.8082788671024
CDKN1A	TSG	1615680	Nuclear	28	7	18	17.3301643889879	4.33254109724698	11.1408199643494
CDKN1B	TSG	1948608	Nuclear	24	16	6	12.3164843826978	8.2109895884652	3.07912109567445
CDKN2A	TSG	1537344	Nuclear	69	27	34	44.8826027226177	17.5627575871113	22.1160651096957
CDKN2B	TSG	1361088	Nuclear	7	0	2	5.14294446795505	0	1.46941270513001
CDKN2C	TSG	1654848	Nuclear	14	0	11	8.4599914916657	0	6.64713617202305
CEBPA	TSG	3515328	Nuclear	7	0	3	1.99127933438928	0	0.853405429023977
CENPA	n/a	1380672	Nuclear	13	3	7	9.41570481620544	2.17285495758587	5.0699949010337
CHEK1	TSG	4670784	Nuclear	31	8	18	6.63700141132624	1.71277455776161	3.85374275496362
CHEK2	TSG	5326848	Nuclear	63	12	43	11.8268814878893	2.25273933102653	8.07231593617839
CIC	TSG	15755328	Nuclear	132	35	77	8.37811818325839	2.22147073040942	4.88723560690073
CREBBP	TSG	23921856	Nuclear	251	38	167	10.4924969032503	1.58850550726499	6.98106367666455
CRKL	Oncogene	2976768	Nuclear	30	1	17	10.078044375645	0.3359348125215	5.7108918128655
CRLF2	Oncogene	2291328	Nuclear	34	1	21	14.8385565052232	0.436428132506564	9.16499078263784
CSDE1	n/a	8274240	Nuclear	93	17	59	11.2397029817844	2.05456936226167	7.13056425726109
CSF1R	n/a	9527616	Nuclear	85	9	53	8.92143428114651	0.944622453297866	5.56277666942077
CSF3R	Oncogene	8195904	Nuclear	81	8	59	9.88298545224541	0.976097328616831	7.19871779854913
CTCF	TSG	7128576	Nuclear	133	56	65	18.6573026646556	7.85570638511815	9.11823062558357
CTLA4	Oncogene	2193408	Nuclear	15	2	11	6.83867296918768	0.911823062558357	5.01502684407096
CTNNB1	Oncogene	7657344	Nuclear	250	6	223	32.6483961018337	0.78356150644401	29.1223693228357
CUL3	n/a	7530048	Nuclear	76	26	45	10.0928971501908	3.45283323559159	5.9760575231393
CXCR4	Oncogene	3456576	Nuclear	40	5	23	11.5721453831769	1.44651817289711	6.6539835953267
CYLD	TSG	9341568	Nuclear	75	10	43	8.02863073950754	1.07048409860101	4.60308162398433
CYSLTR2	n/a	3397824	Nuclear	36	2	23	10.5950161044245	0.58861200580136	6.76903806671564
DAXX	TSG	7255872	Nuclear	68	8	50	9.37171989803569	1.10255528212185	6.89097051326153
DCUN1D1	n/a	2545920	Nuclear	29	6	17	11.3907742584213	2.35671191553545	6.67735042735043
DDR2	Oncogene	8381952	Nuclear	91	4	68	10.85665964205	0.477215808441757	8.11266874350986
DICER1	TSG	18830016	Nuclear	166	25	103	8.81571210560841	1.3276674857844	5.46999004143172
DIS3	n/a	9390528	Nuclear	73	11	49	7.77379078151942	1.17139313146183	5.21802394923906
DNAJB1	n/a	3339072	Nuclear	16	0	9	4.79175052230081	0	2.6953596687942
DNMT1	Oncogene	15833664	Nuclear	129	6	88	8.14719827324869	0.378939454569707	5.55777866702236
DNMT3A	TSG	8940096	Nuclear	93	10	54	10.402572858278	1.11855622132022	6.04020359512918
DNMT3B	TSG	8362368	Nuclear	128	18	75	15.3066691157337	2.15250034440005	8.96875143500023
DOT1L	n/a	15060096	Nuclear	101	8	52	6.70646455374521	0.531205113167937	3.45283323559159
DROSHA	n/a	13464000	Nuclear	110	16	72	8.16993464052288	1.1883541295306	5.3475935828877
DUSP4	TSG	3867840	Nuclear	36	3	18	9.30752047654505	0.775626706378754	4.65376023827252
E2F3	Oncogene	4563072	Nuclear	45	6	30	9.86177732895733	1.31490364386098	6.57451821930489
EED	TSG	4328064	Nuclear	39	11	24	9.01095732410611	2.54155206577352	5.54520450714222
EGFL7	n/a	2683008	Nuclear	14	0	11	5.21802394923906	0	4.09987596011641
EGFR	Oncogene	11858112	Nuclear	172	8	121	14.5048385442809	0.674643653222368	10.2039852549883
EIF1AX	n/a	1419840	Nuclear	20	1	16	14.0860942077981	0.704304710389903	11.2688753662384
EIF4A2	n/a	3995136	Nuclear	50	6	42	12.5152185057029	1.50182622068435	10.5127835447905
EIF4E	n/a	2330496	Nuclear	20	2	10	8.5818641181963	0.85818641181963	4.29093205909815
ELF3	n/a	3642624	Nuclear	33	13	16	9.05940333122496	3.56885585775529	4.39243797877574
EP300	TSG	23647680	Nuclear	215	56	127	9.09180097159637	2.36809699725301	5.37050569019878
EPAS1	n/a	8528832	Nuclear	61	6	38	7.15221029092846	0.703496094189685	4.45547526320134
EPCAM	TSG	3084480	Nuclear	23	5	14	7.45668637825501	1.62101877788152	4.53885257806826
EPHA3	TSG	9635328	Nuclear	178	26	122	18.4736835113449	2.69840320952229	12.6617381369892
EPHA5	n/a	10164096	Nuclear	198	21	133	19.4803354867959	2.0660961879935	13.0852758572922
EPHA7	n/a	9782208	Nuclear	141	17	86	14.4139237276492	1.73784896007118	8.79147120977186
EPHB1	n/a	9645120	Nuclear	178	13	116	18.454928502704	1.34783185693905	12.0268073388408
ERBB2	Oncogene	12298752	Nuclear	117	6	83	9.51316035968527	0.487854377419758	6.74865222097332
ERBB3	Oncogene	13150656	Nuclear	134	5	111	10.189605750466	0.380209169793507	8.44064356941585
ERBB4	Oncogene	12817728	Nuclear	256	39	177	19.9723383114387	3.04266091463323	13.8089995356431
ERCC2	TSG	7451712	Nuclear	51	3	35	6.84406482698204	0.402592048646002	4.69690723420336
ERCC3	TSG	7667136	Nuclear	71	9	43	9.26030267364502	1.17384118398317	5.60835232347515
ERCC4	TSG	8979264	Nuclear	80	12	51	8.90941618377631	1.33641242756645	5.6797528171574
ERCC5	n/a	11623104	Nuclear	36	0	27	3.09727934981912	0	2.32295951236434
ERF	TSG	5375808	Nuclear	41	4	25	7.62676047954094	0.744074193125945	4.65046370703716
ERG	Oncogene	4700160	Nuclear	59	9	36	12.55276416122	1.91482843137255	7.6593137254902
ERRFI1	TSG	4533696	Nuclear	39	6	25	8.60225299623089	1.32342353788168	5.51426474117365
ESR1	Oncogene	5836032	Nuclear	85	9	57	14.5646905294556	1.54214370311883	9.7669101197526
ETV1	Oncogene	4455360	Nuclear	63	10	33	14.1402714932127	2.24448753860519	7.40680887739711
ETV6	Oncogene	4435776	Nuclear	62	10	38	13.9772612503427	2.25439697586172	8.56670850827454
EZH1	Oncogene	7324416	Nuclear	54	13	33	7.37260144699591	1.77488553353605	4.50547866205306
EZH2	n/a	7363584	Nuclear	80	11	42	10.8642747879294	1.49383778334029	5.70374426366291
FAM175A	TSG	4014720	Nuclear	31	3	20	7.72158456878686	0.747250119560019	4.98166746373346
FAM46C	n/a	3838464	Nuclear	28	1	18	7.29458450046685	0.260520875016673	4.68937575030012
FAM58A	TSG	2418624	Nuclear	27	1	18	11.1633722314837	0.413458230795692	7.44224815432246
FANCA	TSG	14257152	Nuclear	91	9	66	6.3827614379085	0.631262120232708	4.6292555483732
FANCC	TSG	5473728	Nuclear	50	8	31	9.13454230827692	1.46152676932431	5.66341623113169
FAT1	TSG	44935488	Nuclear	481	77	280	10.7042344794386	1.71356768173965	6.23115520632601
FBXW7	TSG	6932736	Nuclear	250	74	167	36.0607990842288	10.6739965289317	24.0886137882648
FGF19	Oncogene	2124864	Nuclear	11	0	6	5.17680190355712	0	2.82371012921298
FGF3	Oncogene	2350080	Nuclear	27	0	18	11.4889705882353	0	7.6593137254902
FGF4	Oncogene	2026944	Nuclear	10	0	4	4.93353541094377	0	1.97341416437751
FGFR1	Oncogene	8362368	Nuclear	68	4	39	8.13166796773354	0.478333409866679	4.66375074620012
FGFR2	Oncogene	8049024	Nuclear	126	9	99	15.6540718477172	1.11814798912266	12.2996278803492
FGFR3	Oncogene	7902144	Nuclear	57	5	37	7.21323225696722	0.632739671663791	4.68227357031206
FGFR4	Oncogene	7862976	Nuclear	75	6	43	9.53837325714844	0.763069860571875	5.46866733409844
FH	TSG	5003712	Nuclear	43	7	26	8.5936200964404	1.39896141104844	5.1961423838942
FLCN	TSG	5679360	Nuclear	38	3	24	6.69089474870408	0.528228532792427	4.22582826233942
FLT1	Oncogene	13111488	Nuclear	149	15	97	11.3640801105107	1.1440349104541	7.39809242093651
FLT3	Oncogene	9733248	Nuclear	116	18	74	11.9179127049881	1.8493312818085	7.60280638076827
FLT4	Oncogene	13356288	Nuclear	147	13	81	11.0060519809097	0.973324324842351	6.06455925478696
FOXA1	n/a	4631616	Nuclear	69	6	50	14.8976080918625	1.29544418190109	10.7953681825091
FOXL2	n/a	3691584	Nuclear	20	1	15	5.41772854146079	0.27088642707304	4.06329640609559
FOXO1	TSG	6423552	Nuclear	62	6	44	9.65198071098358	0.934062649450024	6.84979276263351
FOXP1	n/a	6638976	Nuclear	79	19	42	11.8994254535639	2.86188713440145	6.32627682341373
FUBP1	TSG	6315840	Nuclear	55	19	26	8.708263667224	3.0083092668592	4.1166337335968
FYN	Oncogene	5238720	Nuclear	47	8	28	8.97165719870503	1.52709058701362	5.34481705454768
GATA1	n/a	4053888	Nuclear	40	5	28	9.86707082188753	1.23338385273594	6.90694957532127
GATA2	Oncogene	4709952	Nuclear	38	4	23	8.06802277390513	0.849265555147908	4.88327694210047
GATA3	n/a	4347648	Nuclear	143	80	46	32.8913472295825	18.4007536948713	10.580433374551
GLI1	Oncogene	10839744	Nuclear	115	23	74	10.6091066357287	2.12182132714573	6.82672948733845
GNA11	Oncogene	3525120	Nuclear	22	0	12	6.24092229484386	0	3.4041394335512
GNAQ	Oncogene	3525120	Nuclear	29	5	19	8.22667029774873	1.41839143064633	5.38988743645606
GNAS	Oncogene	3867840	Nuclear	129	5	87	33.3519483742864	1.29271117729792	22.4931744849839
GPS2	TSG	3211776	Nuclear	25	14	9	7.78385541208353	4.35895903076678	2.80218794835007
GREM1	Oncogene	1811520	Nuclear	12	2	6	6.62427133015368	1.10404522169228	3.31213566507684
GRIN2A	TSG	14345280	Nuclear	255	19	166	17.7758816837315	1.32447745878784	11.5717504294095
GSK3B	Oncogene	4249728	Nuclear	53	14	29	12.471386404024	3.2943284840818	6.82396614559802
H3F3A	n/a	1341504	Nuclear	14	0	12	10.4360478984781	0	8.94518391298125
H3F3B	n/a	1341504	Nuclear	12	2	8	8.94518391298125	1.49086398549688	5.9634559419875
H3F3C	n/a	1331712	Nuclear	28	4	18	21.0255670895809	3.0036524413687	13.5164359861592
HGF	Oncogene	7138368	Nuclear	108	14	75	15.1295085935609	1.9612325954616	10.5066031899728
HIST1H1C	n/a	2095488	Nuclear	52	3	33	24.8152220389714	1.43164742532527	15.748121678578
HIST1H2BD	n/a	1243584	Nuclear	25	1	15	20.1031856312079	0.804127425248314	12.0619113787247
HIST1H3A	n/a	1341504	Nuclear	12	1	7	8.94518391298125	0.745431992748438	5.21802394923906
HIST1H3B	n/a	1341504	Nuclear	40	7	27	29.8172797099375	5.21802394923906	20.1266638042078
HIST1H3C	n/a	1341504	Nuclear	27	3	12	20.1266638042078	2.23629597824531	8.94518391298125
HIST1H3D	n/a	1341504	Nuclear	23	1	16	17.1449358332141	0.745431992748438	11.926911883975
HIST1H3E	n/a	1341504	Nuclear	27	1	17	20.1266638042078	0.745431992748438	12.6723438767234
HIST1H3F	n/a	1341504	Nuclear	17	3	12	12.6723438767234	2.23629597824531	8.94518391298125
HIST1H3G	n/a	1341504	Nuclear	19	1	15	14.1632078622203	0.745431992748438	11.1814798912266
HIST1H3H	n/a	1341504	Nuclear	12	1	9	8.94518391298125	0.745431992748438	6.70888793473594
HIST1H3I	n/a	1341504	Nuclear	19	1	13	14.1632078622203	0.745431992748438	9.69061590572969
HIST1H3J	n/a	1341504	Nuclear	12	1	7	8.94518391298125	0.745431992748438	5.21802394923906
HIST2H3D	n/a	1341504	Nuclear	9	1	6	6.70888793473594	0.745431992748438	4.47259195649063
HIST3H3	n/a	1341504	Nuclear	29	0	24	21.6175277897047	0	17.8903678259625
HLA-A	TSG	3583872	Nuclear	43	10	24	11.9981963641559	2.79027822422229	6.6966677381335
HLA-B	TSG	3554496	Nuclear	54	28	20	15.1920272241128	7.87734744953996	5.6266767496714
HNF1A	TSG	6188544	Nuclear	66	17	37	10.6648672127079	2.74701125175809	5.9787891950029
HOXB13	n/a	2790720	Nuclear	29	3	21	10.3915835339984	1.0749914000688	7.5249398004816
HRAS	Oncogene	1860480	Nuclear	16	0	13	8.5999312005504	0	6.9874441004472
ICOSLG	n/a	2966976	Nuclear	26	10	11	8.76313121508229	3.37043508272396	3.70747859099635
ID3	TSG	1175040	Nuclear	8	1	5	6.8082788671024	0.8510348583878	4.255174291939
IDH1	Oncogene	4063680	Nuclear	73	4	64	17.9640129144027	0.984329474761792	15.7492715961887
IDH2	Oncogene	4435776	Nuclear	47	4	32	10.5956657865501	0.901758790344688	7.21407032275751
IFNGR1	n/a	4798080	Nuclear	37	15	16	7.71141790049353	3.12625050020008	3.33466720021342
IGF1	Oncogene	1919232	Nuclear	29	3	17	15.1102107509671	1.56312525010004	8.85770975056689
IGF1R	Oncogene	13395456	Nuclear	120	11	70	8.95826166724	0.821173986163666	5.22565263922333
IGF2	Oncogene	2320704	Nuclear	29	3	18	12.4962080472133	1.29271117729792	7.75626706378754
IKBKE	Oncogene	7020864	Nuclear	74	10	35	10.5400133089033	1.42432612282477	4.98514142988669
IKZF1	n/a	5091840	Nuclear	67	3	41	13.1583081950729	0.589177978883861	8.0520990447461
IL10	n/a	1752768	Nuclear	30	6	15	17.1157848614306	3.42315697228612	8.5578924307153
IL7R	Oncogene	4504320	Nuclear	84	10	44	18.6487638533674	2.22009093492469	9.76840011366866
INHA	TSG	3593664	Nuclear	40	7	24	11.1307011451265	1.94787270039714	6.67842068707592
INHBA	n/a	4181184	Nuclear	71	6	45	16.9808360502671	1.43500022960004	10.7625017220003
INPP4A	n/a	9576576	Nuclear	90	12	61	9.39793095152171	1.25305746020289	6.36970875603138
INPP4B	TSG	9057600	Nuclear	110	29	62	12.1444974386151	3.20173114290761	6.84508037449214
INPPL1	TSG	12328128	Nuclear	135	37	69	10.9505676774284	3.00126669677667	5.59695681290785
INSR	Oncogene	13542336	Nuclear	121	8	72	8.93494298177213	0.590740031852703	5.31666028667432
IRF4	Oncogene	4425984	Nuclear	60	5	36	13.5563074787437	1.12969228989531	8.13378448724623
IRS1	Oncogene	12171456	Nuclear	117	7	85	9.61265439401827	0.575116074855794	6.98355233753464
IRS2	Oncogene	13111488	Nuclear	42	7	23	3.20329774927148	0.533882958211913	1.75418686269629
JAK1	n/a	11309760	Nuclear	149	53	73	13.1744617038735	4.68621792151204	6.45460204283734
JAK2	Oncogene	11094336	Nuclear	110	30	58	9.91496922393553	2.70408251561878	5.22789286352964
JAK3	Oncogene	11016000	Nuclear	97	15	59	8.80537400145243	1.36165577342048	5.35584604212055
JUN	Oncogene	3250944	Nuclear	20	4	12	6.1520592172612	1.23041184345224	3.69123553035672
KDM5A	Oncogene	16558272	Nuclear	127	20	86	7.66988246116503	1.20785550569528	5.1937786744897
KDM5C	TSG	15285312	Nuclear	141	28	74	9.22454183467109	1.83182391043114	4.84124890613944
KDM6A	TSG	13728384	Nuclear	110	38	53	8.01259638425032	2.76798784183193	3.86061462150243
KDR	Oncogene	13287744	Nuclear	173	23	115	13.0195163302363	1.73091835604298	8.65459178021491
KEAP1	TSG	6120000	Nuclear	78	7	63	12.7450980392157	1.1437908496732	10.2941176470588
KIT	Oncogene	9566784	Nuclear	157	12	116	16.410948548645	1.25434001645694	12.1252868257504
KLF4	n/a	4700160	Nuclear	37	6	23	7.87207244008715	1.2765522875817	4.89345043572985
KMT2A	TSG	38903616	Nuclear	249	43	150	6.40043331704693	1.10529571338561	3.85568272111261
KMT2B	n/a	26595072	Nuclear	277	63	156	10.4154634362336	2.36885991510006	5.86574836120015
KMT2C	TSG	48098304	Nuclear	543	154	298	11.289379351089	3.20177609588895	6.19564465308382
KMT2D	TSG	54228096	Nuclear	525	139	270	9.68132829151885	2.56324691908785	4.97896883563826
KMT5A	n/a	3456576	Nuclear	29	0	17	8.38980540280324	0	4.91816178785017
KNSTRN	n/a	3104064	Nuclear	34	2	26	10.9533824044865	0.644316612028618	8.37611595637203
KRAS	Oncogene	1860480	Nuclear	358	1	349	192.423460612315	0.5374957000344	187.585999312005
LATS1	TSG	11074752	Nuclear	97	25	56	8.75866114202828	2.25738689227533	5.05654663869674
LATS2	TSG	10663488	Nuclear	108	11	68	10.1280181494085	1.03155740410642	6.37690031629426
LMO1	Oncogene	1537344	Nuclear	17	1	12	11.0580325548478	0.650472503226344	7.80567003871612
LYN	Oncogene	5023296	Nuclear	44	4	31	8.75918918574577	0.796289925976889	6.17124692632089
MALT1	n/a	8078400	Nuclear	54	9	34	6.68449197860963	1.11408199643494	4.20875420875421
MAP2K1	Oncogene	3858048	Nuclear	46	0	37	11.9231279652301	0	9.59034205898942
MAP2K2	Oncogene	3926592	Nuclear	33	2	21	8.40423451175982	0.509347546167262	5.34814923475625
MAP2K4	TSG	3916800	Nuclear	95	36	51	24.2544934640523	9.19117647058823	13.0208333333333
MAP3K1	TSG	14815296	Nuclear	221	106	94	14.9170154953367	7.15476761314792	6.34479392109344
MAP3K13	Oncogene	9468864	Nuclear	95	20	55	10.0328825083981	2.1121857912417	5.80851092591466
MAP3K14	Oncogene	9273024	Nuclear	2	2	0	0.215679372769875	0.215679372769875	0
MAPK1	Oncogene	3534912	Nuclear	26	2	19	7.35520431626021	0.565784947404631	5.374957000344
MAPK3	Oncogene	3720960	Nuclear	21	0	11	5.6437048503612	0	2.9562263501892
MAPKAP1	n/a	5121216	Nuclear	51	5	34	9.95857233906947	0.976330621477399	6.63904822604631
MAX	TSG	1576512	Nuclear	23	6	14	14.5891690009337	3.80587017415662	8.88036373969878
MCL1	Oncogene	3436992	Nuclear	14	0	10	4.07332923672793	0	2.90952088337709
MDC1	n/a	20465280	Nuclear	131	20	84	6.40108515495512	0.977264909153454	4.10451261844451
MDM2	Oncogene	4876416	Nuclear	31	0	21	6.35712785783658	0	4.30644145208284
MDM4	Oncogene	4807872	Nuclear	34	1	24	7.07173568680697	0.207992226082558	4.99181342598139
MED12	n/a	21326976	Nuclear	234	27	168	10.9720196618592	1.26600226867607	7.87734744953996
MEF2B	Oncogene	3613248	Nuclear	30	6	12	8.30277910622243	1.66055582124449	3.32111164248897
MEN1	TSG	6031872	Nuclear	48	14	27	7.95772854596384	2.32100415923945	4.47622230710466
MET	Oncogene	13620672	Nuclear	134	11	93	9.83798743556852	0.807595983516819	6.82785695155129
MGA	TSG	30022272	Nuclear	250	55	156	8.3271512562407	1.83197327637295	5.1961423838942
MITF	n/a	5101632	Nuclear	54	5	36	10.584848142712	0.980078531732591	7.05656542847465
MLH1	TSG	7412544	Nuclear	72	17	45	9.71326443391095	2.29340965800675	6.07079027119434
MPL	Oncogene	6227712	Nuclear	52	7	35	8.34977596908784	1.12400830353106	5.62004151765528
MRE11A	TSG	6942528	Nuclear	66	15	43	9.50662352388064	2.16059625542742	6.1937092655586
MSH2	TSG	9155520	Nuclear	83	27	47	9.06556918667645	2.94904057879836	5.13351508161197
MSH3	TSG	11143296	Nuclear	82	22	47	7.35868454001401	1.97428121805254	4.21778260220315
MSH6	TSG	13326912	Nuclear	123	33	72	9.22944490066416	2.47619253432453	5.4026018930717
MSI1	Oncogene	3554496	Nuclear	28	2	14	7.87734744953996	0.56266767496714	3.93867372476998
MSI2	Oncogene	3221568	Nuclear	30	3	14	9.31223553251088	0.931223553251088	4.34570991517174
MST1	TSG	7108992	Nuclear	52	2	34	7.31467977457282	0.28133383748357	4.78267523722069
MST1R	Oncogene	13718592	Nuclear	103	9	70	7.50805913609793	0.656044002183314	5.10256446142578
MT-ATP6	Complex V	1967418	Mitochondrial	87	5	57	44.2203944459185	2.54140197965049	28.9719825680155
MT-ATP8	Complex V	667156	Mitochondrial	20	2	16	29.9779961508253	2.99779961508253	23.9823969206602
MT-CO1	Complex IV	4907931	Mitochondrial	274	35	198	55.8280057319469	7.13131460079614	40.3428654559325
MT-CO2	Complex IV	2216917	Mitochondrial	126	9	87	56.8356866765874	4.05969190547053	39.2436884195484
MT-CO3	Complex IV	2541373	Mitochondrial	186	20	117	73.1887841729648	7.86976173902847	46.0381061733166
MT-CYB	Complex III	3712128	Mitochondrial	319	27	247	85.9345367401124	7.27345608772111	66.5386538395228
MT-ND1	Complex I	3063545	Mitochondrial	214	32	153	69.8537152220712	10.4454153603097	49.9421421914808
MT-ND2	Complex I	3196953	Mitochondrial	158	13	112	49.4220590668677	4.06637194853975	35.0333583258809
MT-ND3	Complex I	1103824	Mitochondrial	75	4	61	67.9456145182565	3.62376610764035	55.2624331415153
MT-ND4	Complex I	4441298	Mitochondrial	323	84	179	72.7264867162708	18.9133897342624	40.3035328861067
MT-ND4L	Complex I	959462	Mitochondrial	62	1	43	64.6195472045792	1.04225076136418	44.8167827386598
MT-ND5	Complex I	5875313	Mitochondrial	441	90	273	75.0598308549689	15.3183328275447	46.4656095768855
